Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,543.3030419,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,547.2281102,556.3020024
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4480.799271,5455.853529,5592.257099,5499.581487,5493.02559,4177.892515,3946.443977,4044.2766
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,40852.66678,43335.32886,38686.46126,39538.76672,41303.92937,35762.52307,37474.66541,38962.88035
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,23512.6026,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54066.47127
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45237.80509,47549.07904
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,28443.40766,28006.37972,29485.62093,28768.02989,29445.03053,31405.96356,31588.835,31827.2427
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20722.13729,22514.23795,23654.35139,24744.29696,24989.40012,22688.9444,22619.11667,23709.43047
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620466,1563.913857
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16056.37098,16458.35321,16249.55939,16451.16358,16489.07224,16525.07325,16900.16655,17391.42587
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41998.33575,44288.50804
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4270.864345,4423.489797,4505.621302,4568.502958,4705.60269,4775.955648,4818.403909,4887.577208
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1036.533952,1130.273132,1145.140811,1251.210518,1291.409808,1076.797716,1087.287832,1136.592847
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,88207.32756,85973.15842,85458.45551,85748.06541,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2258.183141,2563.257527,2538.9459,2472.714309,2652.214589,2752.664208,2930.562989,3286.574703
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949,3351.12404
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277546,4994.68314,5394.59122
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6434.815657,7617.325094,7070.37655,7224.965172,7780.638385,6799.875234,7243.852997,7893.210108
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,11286.24302,13245.6125,12370.0242,12300.32488,12112.58821,8814.000987,8710.09669,9925.386238
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,35269.55311,47055.84112,47740.5149,44740.08502,41726.78397,31164.56203,27157.82341,28572.14678
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,6809.898984,7806.348652,7393.189177,7651.817881,7874.260904,7053.603706,7545.790332,8331.058025
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,647.8358465,751.1729572,758.0007014,787.4701763,792.8467784,653.3269795,687.670175,738.2741589
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3378.25486,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984,3130.963385,3292.645755
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,785.5022829,882.2754926,950.880346,1013.420401,1093.496191,1162.90492,1269.591257,1385.25998
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1286.515572,1405.094392,1354.545613,1465.638843,1542.620266,1327.503017,1364.33011,1425.107818
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,47448.01322,52087.44638,52678.39012,52652.59368,50893.44671,43585.51198,42322.48478,45148.55271
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,73350.78482,72328.41164,72783.32044,73515.89532,74990.43322,76280.48625,78296.09993,81124.51348
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,488.4214018,551.7500966,565.800697,380.2981676,424.4487513,377.4230017,402.1912906,450.900245
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,892.5687203,984.7358915,967.3527975,979.8124096,1020.288204,776.0195323,693.4493865,665.9483527
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,12808.03459,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183,13753.59444,14999.37009
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,4550.453596,5618.132491,6316.918863,7050.64592,7678.599432,8066.942424,8147.938148,8879.438149
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6336.709214,7335.11051,8050.058414,8218.033996,8114.084069,6175.876132,5871.223575,6377.851363
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1316.498848,1447.963587,1403.34862,1505.349473,1513.830379,1242.60319,1273.058953,1323.81159
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404,467.0742375
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2812.435974,3286.694535,3032.493883,3047.930773,2996.918026,1762.032018,1815.295843,1767.894521
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,8141.913127,9121.932518,9913.209959,10490.08133,10547.15186,11299.13554,11666.45591,11814.62657
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,1213.112645,1208.583026,1243.273487,1415.871758,1561.463655,1972.546108,2013.382462,2111.027076
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,13923.62858,14566.63847,13238.10193,13642.19366,13600.19439,11782.89908,12360.48382,13412.33829
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,31023.63833,32396.38574,28912.15694,27729.1927,27129.62612,23333.71491,24532.51906,26338.69434
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658,20379.89604
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54663.99837,57141.05984
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,1343.26873,1451.54298,1559.240651,2312.728803,2464.327841,2658.978753,2802.197051,2914.383856
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,6967.266654,7065.061847,6848.394227,7016.676471,7318.103783,7596.435062,8080.968623,7274.721333
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,5555.389722,5913.432072,6110.369652,6238.133608,6608.828102,6921.517228,7280.880109,7609.338799
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276
