Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Afghanistan,AFG,39.35300064,39.54600143,39.79000092,39.78099823,39.80199814,39.85800171,39.92399979,40.02700043
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Albania,ALB,32.52399826,34.98799896,37.52000046,29.85199928,29.24099922,31.2840004,31.36800003,31.40999985
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Algeria,DZA,28.20299911,27.79899979,27.45400047,28.20400047,26.12599945,26.15999985,26.13299942,26.0720005
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,American Samoa,ASM,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Andorra,AND,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Angola,AGO,57.15200043,57.35300064,57.45100021,57.4620018,57.39300156,57.24100113,57.10599899,56.88299942
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Antigua and Barbuda,ATG,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Argentina,ARG,40.70100021,40.66600037,40.20999908,39.81100082,38.4980011,38.5530014,38.53900146,38.4469986
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Armenia,ARM,34.93899918,38.66899872,38.93799973,39.06200027,38.43500137,40.34500122,35.85900116,36.12599945
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Aruba,ABW,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Australia,AUS,68.4960022,68.15399933,67.48899841,66.77999878,66.54000092,67.25800323,66.6969986,66.66999817
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Austria,AUT,58.30099869,59.17399979,59.25400162,58.85100174,58.16799927,57.61100006,57.5359993,55.92599869
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Azerbaijan,AZE,33.93700027,32.97700119,33.13800049,34.05699921,35.7140007,37.35499954,39.87799835,42.00699997
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bahamas The,BHS,52.33499908,52.49100113,52.85100174,53.39199829,53.8409996,54.06399918,54.12099838,53.9640007
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bahrain,BHR,41.88999939,40.22700119,41.13600159,42.02199936,42.92900085,43.84799957,44.85400009,44.88499832
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bangladesh,BGD,43.20500183,42.57899857,41.95600128,41.33599854,40.72000122,40.10900116,39.50500107,41.94800186
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Barbados,BRB,49.53900146,51.36399841,45.54399872,46.13299942,45.04999924,43.50299835,46.67300034,46.25
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Belarus,BLR,48.17499924,48.60699844,48.80500031,48.76800156,48.54800034,48.18099976,48.0870018,48.00400162
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Belgium,BEL,32.37200165,31.5909996,31.00699997,30.60499954,30.02799988,30.07900047,28.66200066,28.26799965
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Belize,BLZ,48.80799866,48.40800095,48.03499985,47.68500137,48.86299896,47.62799835,48.73300171,49.74000168
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Benin,BEN,42.1269989,43.97700119,43.80599976,43.59600067,43.36000061,43.10400009,42.90100098,42.66199875
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bermuda,BMU,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bhutan,BTN,43.6570015,38.60300064,33.31100082,31.9109993,28.8029995,33.35100174,32.86399841,32.32500076
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bolivia,BOL,52.06700134,52.77199936,45.90200043,46.77500153,52.04299927,45.04600143,44.38100052,45.22999954
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bosnia and Herzegovina,BIH,33.125,31.60499954,29.8560009,29.70599937,29.63599968,31.59300041,29.85199928,30.92700005
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Botswana,BWA,38.61800003,41.10499954,43.66699982,46.26100159,46.3390007,46.26499939,45.82500076,45.18399811
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Brazil,BRA,58.80699921,57.13899994,57.10200119,55.9109993,54.92300034,54.80400085,55.00600052,55.79800034
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,British Virgin Islands,VGB,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Brunei Darussalam,BRN,44.41400146,43.73400116,42.85699844,41.88100052,40.96900177,40.22100067,39.61700058,39.16199875
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Bulgaria,BGR,31.38400078,29.3010006,30.18700027,29.33600044,27.07999992,26.2670002,24.43400002,26.90399933
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Burkina Faso,BFA,59.94400024,58.12799835,56.2879982,54.4280014,52.55599976,52.31499863,52.08599854,51.83000183
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Burundi,BDI,58.29800034,57.31999969,56.3370018,55.32899857,54.26699829,54.33599854,54.29399872,54.11299896
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Cabo Verde,CPV,41.29999924,40.75600052,40.24300003,39.67100143,38.9469986,38.04000092,37.20000076,36.1780014
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Cambodia,KHM,78.97399902,78.62999725,74.86399841,71.02100372,71.90599823,71.90299988,73.18199921,72.67099762
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Cameroon,CMR,57.24399948,57.18099976,57.0870018,56.95000076,56.74499893,56.4620018,56.1780014,55.80799866
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Canada,CAN,64.73799896,64.6309967,63.47299957,63.73699951,64.1309967,64.2440033,63.76300049,63.9659996
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Cayman Islands,CYM,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Central African Republic,CAF,55.39799881,56.01599884,56.47499847,56.77600098,56.9640007,57.08499908,56.62099838,56.06800079
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Chad,TCD,58.25600052,58.08200073,57.80699921,57.44900131,57.01800156,56.51900101,56.14899826,55.70399857
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Channel Islands,CHI,48.93500137,50.67200089,50.43600082,49.83100128,49.9620018,49.80799866,49.29700089,49.17900085
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Chile,CHL,38.17699814,38.76200104,37.4980011,36.84400177,36.74900055,36.51699829,35.375,34.83100128
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,China,CHN,55.85800171,54.88899994,53.5340004,51.81100082,50.05099869,48.55699921,47.29399872,46.27799988
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Colombia,COL,53.67200089,54.66799927,56.19900131,55.05899811,55.04700089,55.21900177,54.05799866,53.1780014
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Comoros,COM,15.14099979,15.0170002,14.88000011,14.73499966,14.57900047,14.4119997,14.27700043,14.11299992
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Congo Dem. Rep.,COD,38.48300171,37.20999908,35.96699905,36.03900146,36.03900146,35.95899963,35.93600082,35.80699921
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Congo Rep.,COG,42.90499878,43.16400146,43.30400085,43.34600067,43.3219986,43.24900055,43.06700134,42.81900024
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Costa Rica,CRI,45,43.53900146,48.88800049,47.51599884,47.41899872,45.79999924,42.26300049,43.50099945
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Cote d'Ivoire,CIV,40.31900024,39.44300079,38.58000183,37.73199844,36.90100098,36.0909996,35.30500031,35.04800034
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Croatia,HRV,36.47299957,32.84799957,30.29599953,29.8560009,33.54700089,33.01300049,37.09199905,35.88499832
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Cuba,CUB,41.97100067,41.59999847,40.86700058,39.87200165,38.92699814,38.12799835,37.5719986,37.2820015
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Curacao,CUW,,,,,,,,
Labor force participation rate for ages 15-24 total (%) (modeled ILO estimate),SL.TLF.ACTI.1524.ZS,Cyprus,CYP,41.61800003,39.25899887,39.32699966,39.39799881,42.15999985,40.38399887,38.57400131,37.31800079
