Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Afghanistan,AFG,65.24559168,66.83572711,66.02317421,61.36674452,59.01033025,61.2526558,56.28704672,56.91080835
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Albania,ALB,21.27782812,22.77253665,20.57825918,19.93851711,18.88395497,19.51253962,18.18993375,18.20060252
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Algeria,DZA,33.63582026,33.83404774,33.3668262,34.24532791,35.56391718,36.08916357,39.85327385,38.8840107
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,American Samoa,ASM,15.07272173,15.39064186,14.34415015,14.12722552,13.31699203,13.0193901,12.38272987,12.47382024
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Andorra,AND,12.8071975,13.27350555,12.40705303,11.81367331,10.83041825,11.46217847,10.25583443,10.30762139
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Angola,AGO,33.78724719,33.10419463,33.41549506,34.66392257,32.97402504,32.72987314,31.78538881,32.38850491
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Antigua and Barbuda,ATG,22.52887611,23.1478617,21.47105044,20.73538507,19.72558362,19.69638779,18.46093032,18.62234285
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Argentina,ARG,16.85910062,17.38298213,16.13507182,15.59737515,14.46698041,14.6316259,13.75144403,13.31183395
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Armenia,ARM,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264,32.22716773,32.52811834
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Aruba,ABW,,,,,,,,
