aircraft,airline,speed,speed_category
Airplane,"FEDEX EXPRESS",3000,"HIGH SPEED"
Airplane,MILITARY,5000,"HIGH SPEED"
Airplane,BUSINESS,1000,"HIGH SPEED"
Airplane,"CHAUTAUQUA AIRLINES",500,"HIGH SPEED"
Airplane,"UNITED AIRLINES",700,"HIGH SPEED"
Airplane,"US CUSTOMS AND BORDER PROTECTION",1000,"HIGH SPEED"
Airplane,"US AIRWAYS*",12000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",200,"HIGH SPEED"
Airplane,BUSINESS,2000,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",100,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",1500,"HIGH SPEED"
Airplane,BUSINESS,5000,"HIGH SPEED"
Airplane,BUSINESS,200,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",350,"HIGH SPEED"
Airplane,"US AIRWAYS*",800,"HIGH SPEED"
Airplane,"MESABA AIRLINES",500,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",12500,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",1000,"HIGH SPEED"
Airplane,BUSINESS,500,"HIGH SPEED"
Airplane,"AIRTRAN AIRWAYS",1800,"HIGH SPEED"
Airplane,"EXPRESSJET (CONTINENTAL EXPRS)",300,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",100,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",1400,"HIGH SPEED"
Airplane,"EXPRESSJET (CONTINENTAL EXPRS)",300,"HIGH SPEED"
Airplane,"UPS AIRLINES",2000,"HIGH SPEED"
Airplane,"CONTINENTAL AIRLINES",100,"HIGH SPEED"
Helicopter,"PHI INC",100,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",400,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",5000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",3500,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",2000,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",1300,"HIGH SPEED"
Airplane,"CONTINENTAL AIRLINES",1200,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",17000,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",2500,"HIGH SPEED"
Airplane,"SKYWEST AIRLINES",200,"HIGH SPEED"
Airplane,MILITARY,1000,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",400,"HIGH SPEED"
Airplane,"ALASKA AIRLINES",2600,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",7000,"HIGH SPEED"
Airplane,"AIR CANADA",1600,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",1500,"HIGH SPEED"
Airplane,"DELTA AIR LINES",100,"HIGH SPEED"
,MILITARY,800,"HIGH SPEED"
Airplane,"ALASKA AIRLINES",1000,"HIGH SPEED"
Airplane,"AIRTRAN AIRWAYS",100,"HIGH SPEED"
Airplane,"MESABA AIRLINES",200,"HIGH SPEED"
Airplane,MILITARY,100,"HIGH SPEED"
Airplane,"US AIRWAYS*",100,"HIGH SPEED"
Airplane,"HORIZON AIR",300,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",4200,"HIGH SPEED"
Airplane,"RYAN INTL AIRLINES",600,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",1000,"HIGH SPEED"
Airplane,"AMERICA WEST AIRLINES",200,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",800,"HIGH SPEED"
Airplane,"TRANS STATES AIRLINES",100,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",2000,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",1500,"HIGH SPEED"
Airplane,"AIRTRAN AIRWAYS",5000,"HIGH SPEED"
Airplane,"DELTA AIR LINES",800,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",200,"HIGH SPEED"
Airplane,MILITARY,1000,"HIGH SPEED"
Airplane,BUSINESS,500,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",1500,"HIGH SPEED"
Airplane,BUSINESS,200,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",700,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",6000,"HIGH SPEED"
Airplane,"MESA AIRLINES",1800,"HIGH SPEED"
Airplane,"ASTAR AIR CARGO",300,"HIGH SPEED"
Airplane,BUSINESS,2000,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",300,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",5000,"HIGH SPEED"
Airplane,MILITARY,140,"HIGH SPEED"
Airplane,"PIEDMONT AIRLINES",200,"HIGH SPEED"
,MILITARY,1000,"HIGH SPEED"
Airplane,"MESABA AIRLINES",2400,"HIGH SPEED"
Airplane,"AIR CANADA",300,"HIGH SPEED"
Airplane,"UNITED AIRLINES",150,"HIGH SPEED"
Airplane,"US AIRWAYS*",100,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1000,"HIGH SPEED"
Airplane,MILITARY,500,"HIGH SPEED"
Airplane,MILITARY,1500,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",1500,"HIGH SPEED"
Airplane,UNKNOWN,5000,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",100,"HIGH SPEED"
Airplane,"US AIRWAYS*",1000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",3000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",1200,"HIGH SPEED"
Airplane,"US CUSTOMS AND BORDER PROTECTION",600,"HIGH SPEED"
Airplane,"UNITED AIRLINES",500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",200,"HIGH SPEED"
Airplane,"US AIRWAYS*",7000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",600,"HIGH SPEED"
Airplane,"US AIRWAYS*",300,"HIGH SPEED"
Airplane,GOVERNMENT,600,"HIGH SPEED"
Airplane,BUSINESS,1300,"HIGH SPEED"
Airplane,MILITARY,2000,"HIGH SPEED"
Airplane,MILITARY,700,"HIGH SPEED"
Airplane,WESTAIR,500,"HIGH SPEED"
Airplane,"US AIRWAYS*",2500,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",200,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",21000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",5000,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",400,"HIGH SPEED"
Airplane,BUSINESS,1000,"HIGH SPEED"
Airplane,"HORIZON AIR",3000,"HIGH SPEED"
Airplane,BUSINESS,500,"HIGH SPEED"
Airplane,MILITARY,7000,"HIGH SPEED"
Airplane,BUSINESS,500,"HIGH SPEED"
Airplane,"UNITED AIRLINES",250,"HIGH SPEED"
Airplane,"DELTA AIR LINES",700,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",1500,"HIGH SPEED"
Airplane,"ABX AIR",2100,"HIGH SPEED"
Helicopter,BUSINESS,800,"HIGH SPEED"
Airplane,MILITARY,800,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",1500,"HIGH SPEED"
Airplane,"GREAT LAKES AIRLINES",450,"HIGH SPEED"
Airplane,"EXPRESSJET (CONTINENTAL EXPRS)",1500,"HIGH SPEED"
Airplane,"CONTINENTAL AIRLINES",2500,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",8000,"HIGH SPEED"
Airplane,"MESA AIRLINES",150,"HIGH SPEED"
Airplane,"ABX AIR",900,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",1000,"HIGH SPEED"
Airplane,MILITARY,1000,"HIGH SPEED"
Airplane,BUSINESS,3000,"HIGH SPEED"
Airplane,BUSINESS,2000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",9000,"HIGH SPEED"
Airplane,"MESABA AIRLINES",500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",2000,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",1000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",400,"HIGH SPEED"
Airplane,"DELTA AIR LINES",300,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",3000,"HIGH SPEED"
Airplane,"HORIZON AIR",100,"HIGH SPEED"
Airplane,MILITARY,2000,"HIGH SPEED"
Airplane,BUSINESS,300,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",200,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",300,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",800,"HIGH SPEED"
Airplane,"US AIRWAYS*",500,"HIGH SPEED"
